key,value
webinar_id,
page_title,Free Live Webinar - Your Event Title Here
headline,Discover How to [Main Benefit] in [Timeframe]
sub_headline,Join 500+ professionals who have already transformed their workflow
banner_image_url,
brand_color,#6C3AED
bullet_1_icon,🚀
bullet_1,How to set up automation in under 30 minutes
bullet_2_icon,💡
bullet_2,The 3 biggest mistakes professionals make
bullet_3_icon,🎯
bullet_3,A step-by-step action plan to implement today
bullet_4_icon,🏆
bullet_4,Live Q&A - get your specific questions answered
speaker_name,Speaker Name
speaker_title,CEO at Company - Industry Expert
speaker_image_url,
speaker_bio,With 15+ years of experience in the industry [Speaker] has helped over 200 companies transform their operations.
social_proof_text,2340+
social_proof_label,professionals already registered
testimonial_1_text,This training completely transformed how our team operates. Incredible value.
testimonial_1_author,"John D., CFO"
testimonial_2_text,I implemented the strategies the same week. Already saving 10+ hours monthly.
testimonial_2_author,"Sarah M., Senior Manager"
faq_1_q,Is this webinar really free?
faq_1_a,Yes! This is a completely free live training. No credit card required.
faq_2_q,Will there be a replay?
faq_2_a,A replay is not guaranteed. We strongly recommend attending live.
faq_3_q,Who is this for?
faq_3_a,This training is designed for professionals and business owners looking to level up.
faq_4_q,What do I need to join?
faq_4_a,Just a computer or phone with internet access. You will receive a unique join link after registering.
cta_button_text,Reserve My Spot Now →
urgency_text,Only 50 spots available - don't miss out!
